plot,block,treatment,harvest.date1,harvest.data1,harvest.1,harvest.date2,harvest.data2,harvest.2,harvest.date3,harvest.data3,harvest.3,count.dates,quadrat,wh.coty,wh.0.2,wh.2.4,wh.4.12,wh.12,weekly.total,cumulative ,x,proportion
106,b1,oats-cc mix,8/2/22,yes,2468.08,na,no,na,na,no,na,8/9/22,0.25^2,0,0,0,0,0,0,8,,80
205,b2,oats-cc mix,8/2/22,yes,2400.83,na,no,na,na,no,na,8/9/22,0.25^2,0,3,3,0,0,6,2,,100
302,b3,oats-cc mix,8/2/22,yes,2864.85,na,no,na,na,no,na,8/9/22,0.25^2,0,7,4,0,0,11,10,,100
404,b4,oats-cc mix,8/2/22,yes,2938.83,na,no,na,na,no,na,8/9/22,0.25^2,0,3,6,2,0,11,27,,100
102,b1,ryelage-sorghum sudangrass ,5/13/22,yes,4970.97,7/13/22,yes,6599.57,9/14/22,yes,5387.93,8/9/22,0.25^2,0,2,10,2,0,14,11,,100
206,b2,ryelage-sorghum sudangrass ,5/13/22,yes,3883.74,7/13/22,yes,6021.21,9/14/22,yes,3712.26,8/9/22,0.25^2,0,1,31,0,0,32,64,,100
301,b3,ryelage-sorghum sudangrass ,5/13/22,yes,3345.74,7/13/22,yes,4605.57,9/14/22,yes,3198.91,8/9/22,0.25^2,0,1,25,4,0,30,43,,100
403,b4,ryelage-sorghum sudangrass ,5/13/22,yes,3120.45,7/13/22,yes,6360.83,9/14/22,yes,5133.49,8/9/22,0.25^2,0,2,24,3,0,29,19,,100
105,b1,alfalfa/oats ,8/2/22,yes,1432.43,9/14/22,yes,3701.05,na,no,na,8/9/22,0.25^2,0,2,2,2,0,6,15,,100
202,b2,alfalfa/oats ,8/2/22,yes,1883,9/14/22,yes,1587.12,na,no,na,8/9/22,0.25^2,0,1,5,5,2,13,15,,100
304,b3,alfalfa/oats ,8/2/22,yes,1943.53,9/14/22,yes,2662.02,na,no,na,8/9/22,0.25^2,0,2,4,2,0,8,9,,100
405,b4,alfalfa/oats ,8/2/22,yes,2138.55,9/14/22,yes,1348.38,na,no,na,8/9/22,0.25^2,0,1,18,4,0,23,29,,100
101,b1,alfalfa/orchardgrass,7/13/22,yes,2062.36,9/14/22,yes,3030.78,na,no,na,8/9/22,0.25^2,0,14,15,0,0,29,36,,100
204,b2,alfalfa/orchardgrass,7/13/22,yes,1950.28,9/14/22,yes,3063.28,na,no,na,8/9/22,0.25^2,0,11,10,0,0,21,27,,100
306,b3,alfalfa/orchardgrass,7/13/22,yes,3164.16,9/14/22,yes,2299.98,na,no,na,8/9/22,0.25^2,0,0,15,1,0,16,6,,100
402,b4,alfalfa/orchardgrass,7/13/22,yes,2330.25,9/14/22,yes,2249.55,na,no,na,8/9/22,0.25^2,0,0,5,0,0,5,15,,100
104,b1,wheat-cc mix,8/2/22,yes,914.6,na,no,na,na,no,na,9/8/22,0.25^2,5,0,0,0,0,5,74,,100
201,b2,wheat-cc mix,8/2/22,yes,107.6,na,no,na,na,no,na,9/8/22,0.25^2,0,0,0,3,0,3,3,,100
303,b3,wheat-cc mix,8/2/22,yes,2017.5,na,no,na,na,no,na,9/8/22,0.25^2,0,0,0,0,0,0,6,,100
406,b4,wheat-cc mix,8/2/22,yes,2945.55,na,no,na,na,no,na,9/8/22,0.25^2,0,0,0,0,0,0,2,,100
103,b1,wheat/clover,8/2/22,yes,511.10,9/14/22,yes,5131.25,na,no,na,9/8/22,0.25^2,0,0,0,0,0,0,4,,100
203,b2,wheat/clover,8/2/22,yes,255.55,9/14/22,yes,4392.61,na,no,na,9/8/22,0.25^2,0,0,0,0,0,0,13,,100
305,b3,wheat/clover,8/2/22,yes,1708.15,9/14/22,yes,3491.45,na,no,na,9/8/22,0.25^2,0,0,0,0,0,0,10,,100
401,b4,wheat/clover,8/2/22,yes,289.18,9/14/22,yes,3177.61,na,no,na,9/8/22,0.25^2,0,0,0,0,0,0,3,,100
106,b1,oats-cc mix,8/2/22,yes,2468.08,na,no,na,na,no,na,9/8/22,0.25^2,2,0,0,0,0,2,10,,100
205,b2,oats-cc mix,8/2/22,yes,2400.83,na,no,na,na,no,na,9/8/22,0.25^2,0,0,0,0,0,0,2,,100
302,b3,oats-cc mix,8/2/22,yes,2864.85,na,no,na,na,no,na,9/8/22,0.25^2,0,0,0,0,0,0,10,,100
404,b4,oats-cc mix,8/2/22,yes,2938.83,na,no,na,na,no,na,9/8/22,0.25^2,0,0,12,4,0,16,27,,100
102,b1,ryelage-sorghum sudangrass ,5/13/22,yes,4970.97,7/13/22,yes,6599.57,9/14/22,yes,5387.93,9/8/22,0.25^2,0,0,4,4,0,8,11,,100
206,b2,ryelage-sorghum sudangrass ,5/13/22,yes,3883.74,7/13/22,yes,6021.21,9/14/22,yes,3712.26,9/8/22,0.25^2,0,0,0,0,0,0,64,,100
301,b3,ryelage-sorghum sudangrass ,5/13/22,yes,3345.74,7/13/22,yes,4605.57,9/14/22,yes,3198.91,9/8/22,0.25^2,0,14,0,2,0,16,43,,100
403,b4,ryelage-sorghum sudangrass ,5/13/22,yes,3120.45,7/13/22,yes,6360.83,9/14/22,yes,5133.49,9/8/22,0.25^2,0,0,0,0,0,0,19,,100
105,b1,alfalfa/oats ,8/2/22,yes,1432.43,9/14/22,yes,3701.05,na,no,na,9/8/22,0.25^2,0,0,0,0,0,0,15,,100
202,b2,alfalfa/oats ,8/2/22,yes,1883,9/14/22,yes,1587.12,na,no,na,9/8/22,0.25^2,0,0,0,0,0,0,15,,100
304,b3,alfalfa/oats ,8/2/22,yes,1943.53,9/14/22,yes,2662.02,na,no,na,9/8/22,0.25^2,0,0,1,0,1,2,9,,100
405,b4,alfalfa/oats ,8/2/22,yes,2138.55,9/14/22,yes,1348.38,na,no,na,9/8/22,0.25^2,0,1,3,4,0,8,29,,100
101,b1,alfalfa/orchardgrass,7/13/22,yes,2062.36,9/14/22,yes,3030.78,na,no,na,9/8/22,0.25^2,0,0,1,0,3,4,36,,100
204,b2,alfalfa/orchardgrass,7/13/22,yes,1950.28,9/14/22,yes,3063.28,na,no,na,9/8/22,0.25^2,0,0,0,0,0,0,27,,100
306,b3,alfalfa/orchardgrass,7/13/22,yes,3164.16,9/14/22,yes,2299.98,na,no,na,9/8/22,0.25^2,0,0,0,0,0,0,6,,100
402,b4,alfalfa/orchardgrass,7/13/22,yes,2330.25,9/14/22,yes,2249.55,na,no,na,9/8/22,0.25^2,0,0,10,0,0,10,15,,100
